,Age,AnnualIncome,ChronicDiseases,EmploymentType,EverTravelledAbroad,FamilyMembers,FrequentFlyer,GraduateOrNot,InsurancePolicy
502,28,300000,Yes,Government,No,4,No,Yes,1
503,31,1300000,No,Government,No,5,No,Yes,0
504,29,500000,No,Private,No,4,No,Yes,0
505,28,800000,No,Private,No,4,No,Yes,0
506,28,600000,No,Private,No,6,No,Yes,0
507,32,800000,Yes,Government,No,2,No,Yes,0
508,28,900000,No,Private,No,6,No,Yes,1
509,28,1450000,No,Private,Yes,6,Yes,Yes,1
510,31,950000,No,Private,No,5,No,Yes,0
511,31,1250000,No,Private,Yes,3,No,Yes,0
512,29,1100000,No,Private,No,5,Yes,Yes,0
513,27,850000,Yes,Government,No,5,No,Yes,0
514,28,500000,No,Private,No,4,No,Yes,1
515,27,850000,No,Government,No,7,Yes,Yes,0
516,31,1250000,Yes,Private,No,3,No,Yes,0
517,31,1250000,No,Private,No,5,No,Yes,1
518,29,1350000,No,Private,Yes,4,Yes,Yes,1
519,25,1700000,No,Private,No,3,Yes,No,1
520,35,1100000,Yes,Government,No,4,No,Yes,0
521,28,1100000,No,Private,No,6,No,Yes,0
522,35,800000,Yes,Private,No,6,No,No,1
523,33,400000,Yes,Government,No,5,No,Yes,0
524,32,800000,No,Government,No,4,No,Yes,0
525,26,500000,No,Private,No,9,No,Yes,0
526,31,1100000,Yes,Private,No,4,No,Yes,0
527,28,700000,Yes,Private,No,4,No,Yes,0
528,25,1150000,No,Private,No,5,No,No,0
529,28,1250000,No,Private,No,4,Yes,Yes,0
530,29,900000,No,Private,No,3,No,Yes,0
531,28,1150000,Yes,Private,No,6,No,Yes,0
532,31,1300000,Yes,Government,No,5,Yes,Yes,1
533,29,600000,No,Private,No,3,No,Yes,0
534,27,450000,No,Private,No,4,No,No,1
535,31,1350000,No,Private,Yes,5,No,Yes,1
536,30,500000,No,Private,No,3,No,No,0
537,29,600000,Yes,Private,No,8,No,Yes,1
538,28,1150000,Yes,Private,No,2,Yes,Yes,0
539,33,400000,No,Government,No,4,No,No,0
540,26,1500000,No,Private,Yes,3,Yes,Yes,1
541,29,1200000,No,Private,No,5,No,Yes,0
542,27,600000,No,Private,No,4,Yes,No,0
543,34,850000,Yes,Private,No,3,No,Yes,0
544,31,400000,No,Government,No,3,No,No,0
545,26,600000,Yes,Private,No,6,No,Yes,0
546,28,550000,No,Private,No,3,No,Yes,0
547,26,1400000,Yes,Private,Yes,4,No,Yes,1
548,27,850000,No,Government,No,5,No,Yes,0
549,28,300000,Yes,Government,No,5,No,No,0
550,34,1050000,No,Private,No,5,No,Yes,0
551,25,1400000,Yes,Private,Yes,9,No,Yes,1
552,27,1050000,No,Government,No,4,No,Yes,0
553,33,1400000,No,Private,Yes,5,Yes,Yes,0
554,32,800000,No,Government,No,6,No,Yes,0
555,26,1750000,No,Private,No,4,No,Yes,0
556,33,550000,Yes,Private,No,4,No,Yes,0
557,27,1050000,No,Government,No,3,No,Yes,0
558,34,850000,Yes,Private,No,3,No,Yes,0
559,29,1200000,No,Private,No,3,No,Yes,1
560,26,1400000,No,Private,Yes,7,No,Yes,1
561,29,1050000,No,Private,No,9,No,Yes,0
562,33,1000000,No,Government,Yes,4,No,Yes,0
563,33,550000,Yes,Private,No,3,No,Yes,1
564,29,900000,Yes,Private,No,6,No,Yes,0
565,28,800000,No,Private,No,5,No,Yes,0
566,27,850000,No,Government,Yes,3,No,Yes,0
567,35,800000,Yes,Private,Yes,7,No,No,1
568,35,800000,No,Private,No,5,No,No,0
569,27,500000,Yes,Government,No,4,No,Yes,0
570,25,1150000,Yes,Private,No,5,No,No,0
571,32,850000,Yes,Government,No,5,No,Yes,0
572,28,550000,No,Private,No,5,No,No,0
573,27,350000,No,Private,No,3,No,No,0
574,29,1150000,No,Private,No,5,Yes,Yes,0
575,29,900000,No,Private,No,6,Yes,Yes,1
576,31,1400000,No,Private,Yes,3,No,Yes,1
577,27,500000,No,Government,No,3,No,Yes,1
578,34,1000000,No,Private,No,4,No,Yes,0
579,33,400000,No,Government,No,3,No,Yes,0
580,31,1250000,No,Private,No,4,No,Yes,0
581,28,700000,Yes,Private,No,4,No,Yes,0
582,29,1100000,No,Private,No,3,No,Yes,0
583,29,500000,No,Private,No,3,No,Yes,1
584,29,900000,No,Private,No,5,No,Yes,0
585,34,1400000,Yes,Private,Yes,7,No,No,1
586,28,300000,No,Government,No,7,No,Yes,0
587,29,900000,Yes,Private,No,9,No,Yes,1
588,35,800000,No,Private,No,6,No,No,1
589,26,1400000,No,Private,Yes,3,No,Yes,1
590,28,500000,No,Private,No,5,No,Yes,0
591,25,1150000,Yes,Private,No,3,No,No,0
592,25,1700000,No,Private,No,4,Yes,Yes,1
593,28,600000,No,Government,No,4,No,Yes,0
594,33,550000,No,Private,No,5,Yes,Yes,0
595,25,1150000,Yes,Private,No,5,Yes,No,0
596,31,1350000,No,Private,Yes,5,No,Yes,1
597,34,1000000,No,Private,No,4,No,Yes,0
598,35,800000,No,Private,No,6,Yes,No,1
599,34,700000,Yes,Private,No,4,No,Yes,0
600,34,1500000,Yes,Private,Yes,4,Yes,Yes,1
601,34,1300000,No,Private,No,5,No,Yes,0
602,34,1500000,No,Private,Yes,4,Yes,Yes,1
603,33,1400000,Yes,Private,Yes,6,No,Yes,1
604,32,350000,No,Government,No,7,No,Yes,0
605,28,1250000,No,Private,Yes,5,No,Yes,1
606,28,800000,No,Private,No,3,No,Yes,0
607,28,550000,Yes,Private,No,8,No,Yes,0
608,28,800000,Yes,Private,No,4,Yes,Yes,1
609,28,700000,Yes,Private,Yes,7,Yes,Yes,1
610,31,900000,No,Private,Yes,8,No,Yes,0
611,28,500000,Yes,Private,No,6,No,Yes,0
612,28,550000,No,Private,No,9,No,Yes,0
613,31,1250000,No,Private,No,6,No,Yes,0
614,34,1000000,Yes,Private,No,5,No,Yes,0
615,28,300000,Yes,Government,No,3,No,Yes,0
616,27,750000,Yes,Government,Yes,7,No,Yes,0
617,30,550000,No,Private,No,5,Yes,No,1
618,31,1650000,No,Private,No,2,Yes,Yes,1
619,35,1100000,No,Government,No,6,No,Yes,1
620,29,1050000,No,Private,No,4,Yes,Yes,0
621,28,650000,No,Private,No,4,No,Yes,0
622,32,800000,No,Government,No,5,Yes,Yes,0
623,28,1100000,No,Private,No,3,No,Yes,0
624,34,1000000,No,Private,No,9,No,Yes,0
625,31,1750000,No,Private,No,4,No,Yes,0
626,28,1100000,No,Private,No,6,Yes,Yes,0
627,27,500000,No,Government,No,6,No,Yes,0
628,28,1150000,No,Private,No,9,No,Yes,0
629,25,600000,No,Private,No,4,Yes,No,0
630,28,1100000,No,Private,No,9,No,Yes,0
631,33,1400000,Yes,Private,Yes,6,No,Yes,1
632,34,700000,No,Private,No,3,No,Yes,0
633,28,700000,Yes,Private,No,7,No,Yes,0
634,34,1300000,No,Private,No,4,No,No,0
635,28,550000,No,Private,No,4,No,No,0
636,25,1400000,No,Private,Yes,4,No,Yes,1
637,34,1300000,Yes,Private,No,5,No,Yes,0
638,26,1450000,No,Government,Yes,3,Yes,Yes,1
639,31,1250000,Yes,Private,No,5,Yes,Yes,0
640,27,800000,No,Private,No,5,No,No,0
641,34,700000,Yes,Private,Yes,5,No,Yes,0
642,26,500000,Yes,Government,No,6,No,Yes,0
643,28,1100000,Yes,Private,No,5,No,Yes,0
644,32,800000,No,Government,No,4,No,Yes,0
645,28,1100000,No,Private,No,4,No,Yes,0
646,28,1100000,No,Private,No,6,No,Yes,0
647,34,1300000,No,Private,No,5,Yes,No,1
648,28,800000,No,Private,No,4,No,Yes,0
649,28,300000,No,Government,No,5,No,Yes,0
650,26,1400000,No,Private,Yes,4,Yes,Yes,1
651,33,1400000,Yes,Private,Yes,8,No,Yes,1
652,33,800000,No,Government,No,6,No,Yes,1
653,27,500000,No,Government,No,7,No,Yes,0
654,32,1750000,No,Government,No,6,No,Yes,0
655,28,700000,No,Private,No,4,No,Yes,0
656,31,500000,Yes,Private,No,6,No,Yes,0
657,28,1200000,No,Private,No,5,No,Yes,1
658,30,1450000,No,Private,Yes,6,Yes,No,1
659,34,500000,No,Private,No,3,No,Yes,0
660,28,300000,No,Government,No,4,No,Yes,0
661,28,300000,No,Government,No,5,No,No,0
662,26,500000,No,Private,No,6,No,Yes,0
663,32,800000,Yes,Government,No,6,No,Yes,1
664,34,1500000,No,Private,Yes,4,Yes,Yes,1
665,28,1250000,No,Private,No,6,Yes,Yes,0
666,28,800000,No,Private,No,5,No,Yes,0
667,26,1300000,Yes,Private,Yes,4,No,Yes,0
668,33,1000000,No,Government,No,5,Yes,Yes,0
669,26,600000,No,Private,No,3,Yes,Yes,0
670,28,800000,Yes,Private,No,4,No,Yes,0
671,29,1100000,Yes,Private,No,3,No,Yes,0
672,27,1050000,Yes,Government,No,2,No,Yes,0
673,30,750000,Yes,Private,No,3,No,No,1
674,27,850000,No,Government,No,2,No,Yes,0
675,27,350000,No,Private,No,3,No,No,0
676,29,1200000,Yes,Private,No,7,No,Yes,0
677,27,450000,No,Private,No,7,No,No,0
678,25,1700000,No,Private,No,4,Yes,Yes,1
679,26,500000,No,Government,No,5,No,Yes,0
680,29,1100000,Yes,Private,Yes,4,No,Yes,1
681,28,1200000,No,Private,No,4,No,Yes,0
682,26,1500000,Yes,Private,Yes,5,Yes,Yes,1
683,28,750000,No,Private,No,4,No,Yes,0
684,25,1150000,No,Private,No,4,No,No,0
685,34,1500000,Yes,Private,Yes,4,Yes,Yes,1
686,33,1500000,No,Private,Yes,3,Yes,Yes,1
687,28,1150000,No,Private,No,3,No,Yes,0
688,33,400000,Yes,Government,No,5,No,Yes,0
689,27,500000,No,Government,No,7,No,Yes,0
690,33,1400000,No,Private,Yes,8,No,Yes,0
691,31,950000,No,Private,No,3,Yes,Yes,0
692,31,300000,No,Government,No,6,No,No,0
693,27,800000,Yes,Private,No,5,No,No,0
694,34,1100000,Yes,Government,No,6,No,Yes,1
695,28,1150000,No,Private,No,7,No,Yes,0
696,32,350000,No,Government,No,2,No,Yes,0
697,25,1400000,Yes,Private,Yes,3,No,Yes,1
698,33,1200000,No,Private,No,7,No,Yes,1
699,32,800000,Yes,Government,No,3,Yes,Yes,0
700,28,1450000,No,Private,Yes,4,Yes,Yes,1
701,29,1350000,Yes,Private,Yes,7,No,Yes,1
702,28,500000,No,Private,No,8,No,Yes,0
703,27,500000,No,Government,No,6,No,Yes,0
704,33,700000,No,Government,No,8,No,Yes,1
705,27,850000,Yes,Government,No,5,No,Yes,0
706,34,700000,No,Private,No,4,No,Yes,0
707,28,550000,Yes,Private,No,4,No,Yes,0
708,34,1000000,No,Private,No,3,No,Yes,0
709,33,1500000,No,Private,Yes,3,Yes,Yes,1
710,26,1450000,Yes,Government,Yes,3,Yes,Yes,1
711,34,1000000,No,Private,No,8,No,Yes,1
712,28,1450000,No,Private,Yes,9,Yes,Yes,1
713,28,1100000,Yes,Private,No,2,No,Yes,1
714,28,300000,No,Government,No,4,No,Yes,0
715,28,1200000,No,Private,No,5,No,Yes,0
716,29,1100000,No,Private,No,7,No,Yes,1
717,28,800000,No,Private,No,4,No,Yes,0
718,27,900000,No,Government,No,4,No,Yes,0
719,34,1300000,No,Private,No,4,No,No,0
720,27,850000,No,Government,Yes,2,No,Yes,0
721,34,1050000,No,Private,No,4,No,Yes,0
722,33,400000,No,Government,No,8,No,Yes,1
723,29,1050000,Yes,Private,No,2,Yes,Yes,0
724,25,750000,No,Government,No,3,No,Yes,0
725,30,800000,No,Private,No,4,No,No,1
726,25,1700000,No,Private,No,5,Yes,Yes,1
727,34,1100000,Yes,Government,No,7,No,Yes,1
728,28,1250000,No,Private,Yes,6,No,Yes,0
729,27,600000,No,Private,Yes,3,No,No,0
730,31,500000,No,Private,No,6,No,Yes,1
731,28,800000,No,Private,No,5,No,Yes,0
732,30,800000,No,Private,No,4,No,No,0
733,27,900000,No,Government,No,4,Yes,Yes,0
734,34,1050000,No,Private,No,7,No,Yes,1
735,28,300000,No,Government,No,4,No,Yes,0
736,30,650000,No,Private,No,7,No,No,0
737,28,700000,Yes,Private,No,4,No,Yes,1
738,28,800000,No,Private,No,7,Yes,Yes,0
739,33,550000,No,Private,No,4,No,Yes,1
740,34,1000000,Yes,Private,No,6,No,Yes,1
741,34,1300000,No,Private,No,6,No,Yes,1
742,34,1050000,Yes,Private,No,7,No,Yes,1
743,29,500000,No,Private,No,6,No,Yes,0
744,29,1050000,Yes,Private,Yes,5,No,Yes,0
745,28,600000,No,Government,No,3,Yes,Yes,0
746,27,500000,Yes,Government,No,3,No,Yes,0
747,34,1300000,No,Private,No,6,No,Yes,1
748,28,650000,No,Private,Yes,5,No,Yes,0
749,34,1300000,No,Government,No,8,No,Yes,1
750,35,800000,No,Private,No,4,No,No,0
751,28,1350000,No,Private,Yes,9,No,Yes,1
752,28,550000,No,Private,No,6,No,No,1
753,33,1100000,Yes,Government,No,4,No,Yes,0
754,32,850000,No,Government,No,3,No,Yes,0
755,29,1200000,No,Private,No,4,No,Yes,0
756,28,300000,No,Government,No,6,No,No,0
757,27,500000,Yes,Government,No,6,No,Yes,0
758,33,1400000,Yes,Private,Yes,6,No,Yes,1
759,34,700000,Yes,Private,No,7,No,Yes,1
760,27,500000,Yes,Government,No,4,No,Yes,0
761,26,1500000,No,Private,Yes,3,Yes,Yes,1
762,28,800000,No,Private,No,5,No,Yes,0
763,28,600000,Yes,Government,No,4,No,Yes,0
764,27,500000,No,Government,No,5,No,Yes,0
765,29,350000,No,Private,No,4,No,Yes,0
766,34,700000,Yes,Private,No,3,No,Yes,0
767,28,300000,No,Government,No,6,No,No,0
768,34,1500000,No,Private,Yes,5,Yes,Yes,1
769,30,800000,No,Private,No,3,No,No,0
770,28,600000,No,Government,No,5,No,Yes,0
771,29,500000,No,Private,No,7,No,Yes,1
772,35,950000,No,Private,No,3,No,No,0
773,31,950000,No,Private,No,6,No,Yes,0
774,28,800000,No,Private,No,5,Yes,Yes,0
775,32,350000,No,Government,No,3,No,Yes,0
776,25,1400000,No,Private,Yes,6,Yes,Yes,1
777,27,500000,No,Government,No,5,No,Yes,0
778,27,850000,No,Government,No,6,No,Yes,0
779,25,1400000,No,Private,Yes,4,No,Yes,1
780,31,400000,No,Government,No,6,No,Yes,0
781,27,500000,No,Government,No,5,No,Yes,1
782,28,1200000,No,Private,No,4,No,Yes,0
783,29,1100000,No,Private,No,7,No,Yes,0
784,31,1500000,Yes,Government,Yes,5,Yes,Yes,1
785,29,1200000,No,Private,Yes,7,No,Yes,0
786,29,500000,No,Private,No,2,No,Yes,0
787,34,1000000,No,Private,No,4,No,Yes,0
788,34,500000,No,Private,No,7,No,Yes,0
789,28,750000,No,Private,No,4,No,Yes,1
790,32,900000,Yes,Government,No,4,No,Yes,1
791,35,800000,No,Private,No,7,No,No,1
792,28,750000,No,Private,No,6,Yes,Yes,0
793,28,1150000,No,Private,No,6,No,Yes,1
794,26,500000,Yes,Government,No,7,No,Yes,0
795,32,350000,No,Government,No,3,No,Yes,0
796,28,300000,No,Government,No,7,No,Yes,0
797,28,300000,No,Government,No,4,No,Yes,0
798,34,1300000,Yes,Government,No,5,No,Yes,1
799,31,1200000,No,Government,No,3,No,Yes,0
800,31,1200000,No,Government,No,6,No,Yes,0
801,31,500000,Yes,Private,No,4,No,Yes,1
802,30,550000,Yes,Private,No,5,No,No,1
803,29,1050000,Yes,Private,No,7,No,Yes,0
804,27,350000,Yes,Private,No,4,No,No,0
805,29,1050000,Yes,Private,No,3,Yes,Yes,0
806,30,550000,No,Private,No,5,No,No,0
807,27,1050000,No,Government,No,3,Yes,Yes,1
808,34,1500000,No,Private,Yes,6,Yes,Yes,1
809,30,1450000,Yes,Private,Yes,5,Yes,No,1
810,29,600000,Yes,Private,No,4,No,Yes,0
811,26,450000,No,Private,No,3,No,Yes,0
812,33,1000000,Yes,Government,No,4,No,Yes,0
813,30,550000,No,Private,No,3,No,No,0
814,29,1050000,Yes,Private,Yes,6,No,Yes,0
815,25,1700000,Yes,Private,No,5,Yes,No,0
816,34,1050000,No,Private,No,4,No,Yes,0
817,27,500000,No,Government,No,4,No,Yes,1
818,28,900000,No,Private,No,4,No,Yes,1
819,28,1150000,Yes,Private,No,4,No,Yes,0
820,25,1150000,No,Private,No,4,No,No,0
821,34,1000000,Yes,Private,No,4,No,Yes,1
822,29,1200000,No,Private,No,4,No,Yes,0
823,28,1200000,No,Private,No,4,No,Yes,0
824,32,850000,No,Government,No,4,No,Yes,0
825,29,900000,No,Private,No,7,No,Yes,1
826,28,1150000,No,Private,No,3,Yes,Yes,0
827,32,850000,Yes,Government,No,7,No,Yes,1
828,34,1000000,Yes,Private,No,6,No,Yes,1
829,26,600000,No,Private,No,5,No,Yes,0
830,34,1050000,No,Private,No,6,No,Yes,1
831,27,1050000,Yes,Government,No,6,No,Yes,0
832,34,1500000,No,Private,Yes,6,Yes,Yes,1
833,31,1500000,No,Government,Yes,3,Yes,Yes,1
834,33,1400000,Yes,Private,Yes,5,Yes,Yes,1
835,35,600000,No,Private,No,9,No,No,0
836,28,1450000,No,Private,Yes,4,Yes,Yes,1
837,29,1100000,No,Private,No,7,Yes,Yes,0
838,29,1100000,No,Private,No,5,Yes,Yes,0
839,26,1250000,No,Private,No,4,No,Yes,1
840,28,1100000,No,Private,No,3,No,Yes,1
841,34,1500000,No,Private,Yes,3,Yes,Yes,1
842,29,1100000,No,Private,No,3,No,Yes,0
843,29,600000,No,Private,No,3,No,Yes,0
844,33,1100000,No,Government,No,2,No,Yes,0
845,28,750000,Yes,Private,No,3,No,Yes,0
846,28,700000,No,Private,No,4,No,Yes,0
847,29,1050000,No,Private,No,4,No,Yes,1
848,35,900000,Yes,Government,No,6,No,Yes,0
849,34,1300000,No,Government,No,4,No,Yes,0
850,32,850000,No,Government,No,4,Yes,Yes,0
851,28,500000,No,Private,No,5,No,Yes,1
852,27,500000,Yes,Government,No,3,No,Yes,0
853,31,400000,Yes,Government,No,6,No,Yes,0
854,32,850000,Yes,Government,No,3,No,Yes,0
855,26,500000,No,Private,No,6,No,Yes,0
856,34,700000,No,Private,No,7,No,Yes,1
857,28,600000,No,Government,No,3,No,Yes,1
858,27,1050000,No,Government,No,5,Yes,Yes,0
859,28,800000,No,Private,No,4,No,Yes,0
860,34,1000000,Yes,Private,No,4,No,Yes,0
861,30,1450000,Yes,Private,Yes,3,Yes,No,1
862,28,300000,Yes,Government,No,3,No,Yes,0
863,29,1100000,No,Private,No,3,No,Yes,0
864,26,600000,No,Private,No,6,Yes,Yes,0
865,31,1350000,No,Private,Yes,5,No,Yes,1
866,31,1400000,Yes,Private,Yes,3,No,Yes,1
867,33,750000,No,Private,No,5,No,Yes,0
868,28,1200000,Yes,Government,No,5,No,Yes,0
869,33,1400000,No,Private,Yes,3,No,Yes,1
870,35,800000,No,Private,Yes,2,No,No,0
871,25,1700000,Yes,Private,Yes,5,Yes,No,0
872,27,1000000,No,Private,No,3,No,No,0
873,32,350000,No,Government,No,3,No,Yes,1
874,28,550000,No,Private,No,4,No,Yes,0
875,29,600000,Yes,Private,No,3,No,Yes,0
876,28,800000,Yes,Private,No,4,No,Yes,0
877,26,1400000,No,Private,Yes,3,No,Yes,1
878,26,600000,No,Private,No,4,No,Yes,0
879,29,1050000,No,Private,No,4,No,Yes,1
880,28,750000,No,Private,No,6,Yes,Yes,0
881,29,1200000,No,Private,No,4,No,Yes,0
882,26,600000,Yes,Private,No,4,No,Yes,0
883,28,1350000,No,Private,Yes,3,No,Yes,1
884,35,1100000,No,Government,No,8,Yes,Yes,1
885,32,350000,No,Government,No,5,No,Yes,0
886,31,1350000,No,Private,Yes,3,No,Yes,1
887,28,600000,No,Government,No,4,No,Yes,0
888,28,1250000,Yes,Private,No,6,No,Yes,0
889,35,800000,Yes,Private,No,3,No,No,0
890,33,1400000,No,Private,Yes,3,No,Yes,1
891,29,1050000,Yes,Private,No,5,No,Yes,0
892,29,1050000,No,Private,No,4,No,Yes,0
893,31,400000,No,Government,No,2,No,Yes,0
894,30,800000,No,Private,No,5,No,No,1
895,28,600000,No,Private,Yes,5,No,Yes,1
896,33,600000,No,Government,No,4,No,Yes,0
897,31,1300000,Yes,Government,No,5,No,Yes,0
898,31,1300000,No,Government,No,5,No,Yes,0
899,25,1700000,No,Private,No,3,Yes,Yes,1
900,29,1050000,Yes,Private,No,3,Yes,Yes,1
901,33,700000,No,Government,No,2,No,Yes,0
902,34,500000,Yes,Private,No,7,No,Yes,1
903,28,600000,No,Government,No,4,No,Yes,0
904,28,300000,No,Government,No,6,No,Yes,0
905,28,550000,No,Private,Yes,6,No,Yes,0
906,34,1300000,Yes,Government,No,5,No,Yes,0
907,26,1400000,No,Private,Yes,6,No,Yes,1
908,34,1300000,No,Private,Yes,3,No,Yes,0
909,26,1400000,Yes,Private,Yes,4,No,Yes,1
910,34,1300000,No,Government,No,4,No,Yes,0
911,27,1050000,No,Government,No,5,Yes,Yes,0
912,31,1400000,No,Private,Yes,6,Yes,Yes,1
913,31,1400000,No,Private,Yes,4,No,Yes,1
914,32,800000,Yes,Government,No,6,No,Yes,0
915,28,600000,No,Government,No,2,Yes,Yes,0
916,26,1500000,No,Private,Yes,6,Yes,Yes,1
917,28,300000,No,Government,No,6,No,Yes,0
918,33,1000000,Yes,Government,No,7,No,Yes,1
919,26,1500000,No,Private,Yes,6,Yes,Yes,1
920,32,650000,No,Government,No,5,No,Yes,0
921,33,400000,No,Government,No,4,No,Yes,0
922,29,900000,No,Private,No,4,No,Yes,0
923,28,1100000,Yes,Private,No,4,Yes,Yes,0
924,31,400000,No,Government,No,6,No,Yes,0
925,30,800000,No,Private,No,3,No,No,0
926,34,700000,No,Private,No,5,No,Yes,1
927,33,1500000,Yes,Private,Yes,5,Yes,Yes,1
928,26,450000,No,Private,No,7,No,Yes,1
929,26,600000,No,Private,No,5,No,Yes,1
930,34,700000,Yes,Private,No,7,No,Yes,1
931,28,1200000,Yes,Government,No,6,No,Yes,0
932,27,1050000,Yes,Government,No,5,No,Yes,1
933,28,600000,No,Government,Yes,5,No,Yes,0
934,28,800000,No,Private,No,5,Yes,Yes,0
935,27,1550000,No,Private,No,7,Yes,No,1
936,33,800000,No,Government,No,3,No,Yes,0
937,28,1250000,No,Private,No,4,No,Yes,0
938,28,1200000,No,Government,No,8,Yes,Yes,1
939,31,500000,No,Private,No,8,No,Yes,1
940,25,1400000,No,Private,Yes,6,Yes,Yes,1
941,34,1000000,No,Private,No,5,No,Yes,0
942,25,500000,No,Private,No,6,No,Yes,0
943,29,1200000,Yes,Private,No,5,No,Yes,0
944,33,600000,No,Government,No,3,No,Yes,0
945,28,1200000,No,Private,No,9,No,Yes,0
946,25,1400000,No,Private,Yes,5,Yes,Yes,1
947,35,800000,No,Private,No,5,No,No,0
948,29,500000,No,Private,No,5,No,Yes,0
949,29,1200000,Yes,Private,Yes,3,No,Yes,1
950,28,550000,No,Private,No,5,No,Yes,0
951,34,1500000,No,Private,Yes,5,Yes,Yes,1
952,28,1450000,No,Private,Yes,5,Yes,Yes,1
953,29,1750000,No,Private,No,6,No,Yes,0
954,34,1000000,Yes,Private,No,5,Yes,Yes,0
955,34,1300000,No,Private,No,6,No,Yes,1
956,25,1700000,No,Private,No,5,Yes,No,1
957,28,500000,Yes,Private,No,5,No,Yes,0
958,27,350000,Yes,Private,No,5,No,No,0
959,31,500000,No,Private,No,6,No,Yes,0
960,28,1450000,No,Private,Yes,4,Yes,Yes,1
961,28,300000,Yes,Government,No,6,No,No,0
962,33,1000000,No,Government,No,5,No,Yes,0
963,26,600000,Yes,Private,No,6,No,Yes,1
964,33,400000,Yes,Government,No,9,No,Yes,1
965,25,1150000,No,Private,No,8,Yes,No,0
966,25,1700000,Yes,Private,No,4,Yes,Yes,1
967,29,900000,No,Private,No,5,No,Yes,0
968,31,1250000,Yes,Private,No,5,No,Yes,0
969,31,900000,No,Private,No,3,No,Yes,0
970,27,450000,No,Private,No,7,No,No,0
971,34,1050000,No,Private,Yes,6,No,Yes,1
972,28,1200000,No,Private,No,3,No,Yes,0
973,26,1500000,No,Private,Yes,4,Yes,Yes,1
974,26,1500000,No,Private,Yes,4,Yes,Yes,1
975,30,1450000,Yes,Private,Yes,3,Yes,No,1
976,26,1300000,No,Private,No,5,No,Yes,0
977,34,1500000,No,Private,Yes,2,Yes,Yes,1
978,32,900000,No,Government,No,4,Yes,Yes,0
979,30,650000,No,Private,No,4,No,No,0
980,28,300000,No,Government,No,8,No,Yes,0
981,27,750000,No,Government,No,3,No,Yes,0
982,27,850000,No,Government,No,5,No,Yes,0
983,35,950000,No,Private,No,6,Yes,No,1
984,28,550000,Yes,Private,No,5,No,Yes,0
985,25,1400000,Yes,Private,Yes,3,Yes,Yes,1
986,25,1400000,No,Private,Yes,3,No,Yes,1
987,33,1400000,Yes,Private,Yes,2,No,Yes,1
988,31,1750000,No,Private,No,7,No,Yes,0
989,33,400000,Yes,Government,No,7,No,Yes,1
990,29,600000,No,Private,No,4,Yes,Yes,1
991,30,1450000,No,Private,Yes,7,Yes,No,1
992,28,1100000,Yes,Private,No,4,No,Yes,0
993,34,700000,No,Private,No,2,Yes,Yes,0
994,28,550000,Yes,Private,No,6,No,Yes,0
995,27,850000,No,Government,No,5,No,Yes,0
996,31,1400000,No,Private,Yes,4,Yes,Yes,1
997,28,700000,Yes,Private,No,4,No,Yes,0
998,26,1400000,No,Private,Yes,4,No,Yes,1
999,34,1300000,No,Private,No,6,No,Yes,1
1000,28,300000,No,Government,No,4,No,Yes,0
1001,26,1250000,No,Private,No,5,No,Yes,1
1002,29,500000,No,Private,No,8,No,Yes,0
1003,31,1250000,Yes,Private,No,5,No,Yes,0
